Threshold,Accuracy,Precision,Recall,F1_Score,ROC_AUC,True_Negative,False_Positive,False_Negative,True_Positive
0.65,0.7814052519517388,0.5785714285714286,0.6497326203208557,0.6120906801007556,0.8421039034849775,858,177,131,243
0.66,0.78708303761533,0.5915841584158416,0.6390374331550802,0.6143958868894601,0.8421039034849775,870,165,135,239
0.67,0.7920511000709723,0.6041131105398457,0.6283422459893048,0.6159895150720839,0.8421039034849775,881,154,139,235
0.68,0.7877927608232789,0.5994694960212201,0.6042780748663101,0.6018641810918774,0.8421039034849775,884,151,148,226
0.69,0.78708303761533,0.6005434782608695,0.5909090909090909,0.5956873315363881,0.8421039034849775,888,147,153,221
0.7,0.7906316536550745,0.6118980169971672,0.5775401069518716,0.594222833562586,0.8421039034849775,898,137,158,216
0.71,0.7927608232789212,0.6220238095238095,0.5588235294117647,0.5887323943661972,0.8421039034849775,908,127,165,209
0.72,0.7963094393186657,0.6363636363636364,0.5427807486631016,0.5858585858585859,0.8421039034849775,919,116,171,203
0.73,0.7963094393186657,0.6454849498327759,0.516042780748663,0.5735512630014858,0.8421039034849775,929,106,181,193
0.74,0.7963094393186657,0.6505190311418685,0.5026737967914439,0.5671191553544495,0.8421039034849775,934,101,186,188
0.75,0.7977288857345636,0.6594982078853047,0.4919786096256685,0.5635528330781011,0.8421039034849775,940,95,190,184
0.76,0.7984386089425124,0.6691729323308271,0.47593582887700536,0.55625,0.8421039034849775,947,88,196,178
0.77,0.7998580553584103,0.6854838709677419,0.45454545454545453,0.5466237942122186,0.8421039034849775,957,78,204,170
0.78,0.7991483321504613,0.6952789699570815,0.43315508021390375,0.5337726523887973,0.8421039034849775,964,71,212,162
0.79,0.7984386089425124,0.7064220183486238,0.4117647058823529,0.5202702702702703,0.8421039034849775,971,64,220,154
0.8,0.794889992902768,0.7093596059113301,0.3850267379679144,0.49913344887348354,0.8421039034849775,976,59,230,144
0.81,0.7913413768630234,0.7083333333333334,0.36363636363636365,0.48056537102473496,0.8421039034849775,979,56,238,136
0.82,0.7892122072391767,0.7175141242937854,0.339572192513369,0.46098003629764067,0.8421039034849775,985,50,247,127
0.83,0.7885024840312278,0.740506329113924,0.31283422459893045,0.4398496240601504,0.8421039034849775,994,41,257,117
0.84,0.7842441447835344,0.7364864864864865,0.2914438502673797,0.41762452107279696,0.8421039034849775,996,39,265,109
0.85,0.7799858055358411,0.7461538461538462,0.25935828877005346,0.38492063492063494,0.8421039034849775,1002,33,277,97
0.86,0.7764371894960965,0.7521367521367521,0.23529411764705882,0.35845213849287166,0.8421039034849775,1006,29,286,88
0.87,0.7714691270404542,0.7549019607843137,0.20588235294117646,0.3235294117647059,0.8421039034849775,1010,25,297,77
0.88,0.7636621717530163,0.7530864197530864,0.16310160427807488,0.2681318681318681,0.8421039034849775,1015,20,313,61
0.89,0.7572746628814763,0.75,0.12834224598930483,0.2191780821917808,0.8421039034849775,1019,16,326,48
0.9,0.7494677075940384,0.7560975609756098,0.08288770053475936,0.1493975903614458,0.8421039034849775,1025,10,343,31
